"name","description","longitude","latitude","address"
"Conduit Spring Cave",,"-2.35568","54.21064","Blind Beck, LA6 3AS, United Kingdom"
"Roger Kirk Cave (1)",,"-2.36683","54.21349","Roger Kirk Rocks, LA6 6AS, United Kingdom"
"Roger Kirk West Sink",,"-2.36783","54.21357","Roger Kirk Rocks, LA6 6AS, United Kingdom"
"Katnot Cave",,"-2.33885","54.21249","ruined barn, Blea Moor Road, Ingleton, England, LA6 3AS, United Kingdom"
"Meregill Hole",,"-2.39942","54.17667","Meregill Hole, God's Bridge, Ingleton, England, LA6 3JG, United Kingdom"
"Middle Washfold Caves",,"-2.3886","54.18334","Hardrawkin Pot, Low Sleights Road, Ingleton, England, LA6 3FH, United Kingdom"
"Bedstead Pot",,"-2.47004","54.19307","Swinsto Hole, Turbary Road, England, LA6 3PH, United Kingdom"
"P101b",,"-2.4011","54.17544","Black Shiver Moss, LA6 3JE, United Kingdom"
"Bull Pot",,"-2.45817","54.20362","Bull Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Roaring Hole",,"-2.39615","54.1823","Braithwaite Wife Hole, Low Sleights Road, Chapel le Dale, England, LA6 3AR, United Kingdom"
"Craftmans Pot",,"-2.4579","54.20463","Bull Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Southerscales Pot",,"-2.38491","54.18659","Southerscales Pot, Low Sleights Road, Ingleton, England, LA6 3AU, United Kingdom"
"Jingling Cave 1",,"-2.46427","54.19892","Aquamole Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Jingling Pot",,"-2.4628","54.20027","Jingling Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Meregill Skit",,"-2.4085","54.18397","Tod Pool, United Kingdom"
"Aquamole Pot",,"-2.46248","54.19993","Aquamole Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Chapmans Rising",,"-2.40953","54.18426","Tod Pool, United Kingdom"
"Rowten Cave 2",,"-2.46572","54.19698","Rowten Cave, Turbary Road, England, LA6 3PH, United Kingdom"
"Joint Hole",,"-2.40767","54.18483","Chapel Beck, LA6 3JG, United Kingdom"
"Midge Hole",,"-2.40385","54.18793","Chapel-le-Dale, Ingleton, England, LA6 3JG, United Kingdom"
"KY Cave",,"-2.40394","54.18782","Chapel-le-Dale, Ingleton, England, LA6 3JG, United Kingdom"
"Rowten Pot 2",,"-2.46405","54.19717","Rowten Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Hurtle Pot",,"-2.40346","54.19057","Hurtle Pot, Low Sleights Road, Chapel le Dale, England, LA6 3AR, United Kingdom"
"Simpsons Cave 2",,"-2.46842","54.1944","Turbary Pot, Turbary Road, England, LA6 3PH, United Kingdom"
"Jingle Pot",,"-2.40211","54.19203","Jingle Pot, Low Sleights Road, Chapel le Dale, England, LA6 3AR, United Kingdom"
"Weathercote Cave",,"-2.40094","54.19316","Chapel Beck, LA6 3JG, United Kingdom"
"Slanting Cave",,"-2.45339","54.20832","Yordas Pot (Middle Entrance), Thornton in Lonsdale, Carnforth, England, LA6 3PH, United Kingdom"
"Gods Bridge",,"-2.4111","54.1829","Chapel Beck, LA6 3JG, United Kingdom"
"Swinsto South",,"-2.47181","54.19238","Swinsto South, LA6 3PH, United Kingdom"
"Blake Bank Moss Cave",,"-2.42186","54.19657","Kirkby Gate, Ingleton, England, LA6 3AP, United Kingdom"
